versenum,osis,apoc
864,'Gen.30.33',0
865,'Gen.30.34',0
866,'Gen.30.35',0
867,'Gen.30.36',0
868,'Gen.30.37',0
869,'Gen.30.38',0
870,'Gen.30.39',0
871,'Gen.30.40',0
872,'Gen.30.41',0
873,'Gen.30.42',0
874,'Gen.30.43',0
875,'Gen.31.1',0
876,'Gen.31.2',0
877,'Gen.31.3',0
878,'Gen.31.4',0
879,'Gen.31.5',0
880,'Gen.31.6',0
881,'Gen.31.7',0
882,'Gen.31.8',0
883,'Gen.31.9',0
884,'Gen.31.10',0
885,'Gen.31.11',0
886,'Gen.31.12',0
887,'Gen.31.13',0
888,'Gen.31.14',0
889,'Gen.31.15',0
890,'Gen.31.16',0
891,'Gen.31.17',0
892,'Gen.31.18',0
893,'Gen.31.19',0
894,'Gen.31.20',0
895,'Gen.31.21',0
896,'Gen.31.22',0
897,'Gen.31.23',0
898,'Gen.31.24',0
899,'Gen.31.25',0
900,'Gen.31.26',0
901,'Gen.31.27',0
902,'Gen.31.28',0
903,'Gen.31.29',0
904,'Gen.31.30',0
905,'Gen.31.31',0
906,'Gen.31.32',0
907,'Gen.31.33',0
908,'Gen.31.34',0
909,'Gen.31.35',0
910,'Gen.31.36',0
911,'Gen.31.37',0
912,'Gen.31.38',0
913,'Gen.31.39',0
914,'Gen.31.40',0
915,'Gen.31.41',0
916,'Gen.31.42',0
917,'Gen.31.43',0
918,'Gen.31.44',0
919,'Gen.31.45',0
920,'Gen.31.46',0
921,'Gen.31.47',0
922,'Gen.31.48',0
923,'Gen.31.49',0
924,'Gen.31.50',0
925,'Gen.31.51',0
926,'Gen.31.52',0
927,'Gen.31.53',0
928,'Gen.31.54',0
929,'Gen.31.55',0
930,'Gen.32.1',0
931,'Gen.32.2',0
932,'Gen.32.3',0
933,'Gen.32.4',0
934,'Gen.32.5',0
935,'Gen.32.6',0
936,'Gen.32.7',0
937,'Gen.32.8',0
938,'Gen.32.9',0
939,'Gen.32.10',0
940,'Gen.32.11',0
941,'Gen.32.12',0
942,'Gen.32.13',0
943,'Gen.32.14',0
944,'Gen.32.15',0
945,'Gen.32.16',0
946,'Gen.32.17',0
947,'Gen.32.18',0
948,'Gen.32.19',0
949,'Gen.32.20',0
950,'Gen.32.21',0
951,'Gen.32.22',0
952,'Gen.32.23',0
953,'Gen.32.24',0
954,'Gen.32.25',0
955,'Gen.32.26',0
956,'Gen.32.27',0
957,'Gen.32.28',0
958,'Gen.32.29',0
959,'Gen.32.30',0
960,'Gen.32.31',0
961,'Gen.32.32',0
962,'Gen.33.1',0
963,'Gen.33.2',0
964,'Gen.33.3',0
965,'Gen.33.4',0
966,'Gen.33.5',0
967,'Gen.33.6',0
968,'Gen.33.7',0
969,'Gen.33.8',0
970,'Gen.33.9',0
971,'Gen.33.10',0
972,'Gen.33.11',0
973,'Gen.33.12',0
974,'Gen.33.13',0
975,'Gen.33.14',0
976,'Gen.33.15',0
977,'Gen.33.16',0
978,'Gen.33.17',0
979,'Gen.33.18',0
980,'Gen.33.19',0
981,'Gen.33.20',0
982,'Gen.34.1',0
983,'Gen.34.2',0
984,'Gen.34.3',0
985,'Gen.34.4',0
986,'Gen.34.5',0
987,'Gen.34.6',0
988,'Gen.34.7',0
989,'Gen.34.8',0
990,'Gen.34.9',0
991,'Gen.34.10',0
992,'Gen.34.11',0
993,'Gen.34.12',0
994,'Gen.34.13',0
995,'Gen.34.14',0
996,'Gen.34.15',0
997,'Gen.34.16',0
998,'Gen.34.17',0
999,'Gen.34.18',0
1000,'Gen.34.19',0
1001,'Gen.34.20',0
1002,'Gen.34.21',0
1003,'Gen.34.22',0
1004,'Gen.34.23',0
1005,'Gen.34.24',0
1006,'Gen.34.25',0
1007,'Gen.34.26',0
1008,'Gen.34.27',0
1009,'Gen.34.28',0
1010,'Gen.34.29',0
1011,'Gen.34.30',0
1012,'Gen.34.31',0
1013,'Gen.35.1',0
1014,'Gen.35.2',0
1015,'Gen.35.3',0
1016,'Gen.35.4',0
1017,'Gen.35.5',0
1018,'Gen.35.6',0
1019,'Gen.35.7',0
1020,'Gen.35.8',0
1021,'Gen.35.9',0
1022,'Gen.35.10',0
1023,'Gen.35.11',0
1024,'Gen.35.12',0
1025,'Gen.35.13',0
1026,'Gen.35.14',0
